"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"ENTREZID"
2.73703687022599e-06	0.643288587278913	0.921	0.46	0.0635622072372583	"4"	"RPS4Y1"	"6192"
2.88115892999213e-06	0.499829721833931	0.921	0.536	0.0669091538312071	"4"	"LOC100506548"	NA
2.91417035307137e-06	0.324884438212301	0.368	0.089	0.0676757781093765	"4"	"OXGR1"	"27199"
4.28195082742818e-06	0.320159685485001	0.842	0.444	0.0994397440653646	"4"	"PRPS1"	"5631"
4.59758794588939e-06	0.311964742555716	0.763	0.371	0.106769784867389	"4"	"AKIP1"	"56672"
6.42587384168072e-06	0.385942818195235	0.842	0.419	0.149228068225351	"4"	"C6orf211"	NA
6.8868516636445e-06	0.575980208723801	0.526	0.21	0.159933356184816	"4"	"APCDD1L"	"164284"
6.93136455422758e-06	0.310161217635439	0.658	0.282	0.160967079042827	"4"	"SUOX"	"6821"
7.6572441365392e-06	0.555241911418756	0.816	0.484	0.17782418058285	"4"	"PRKAG2"	"51422"
7.69566508980635e-06	0.344999751613437	0.816	0.46	0.178716430380573	"4"	"SSTR2"	"6752"
8.35895885308948e-06	0.264944305627901	0.605	0.242	0.194120101445297	"4"	"TMEM41A"	"90407"
8.61121646572158e-06	0.301476348468593	0.684	0.363	0.199978279983452	"4"	"FAM117A"	"81558"
8.74476562788727e-06	0.636341962514753	0.895	0.629	0.203079692176426	"4"	"IDH1"	"3417"
9.03754896116473e-06	0.66351761604055	0.789	0.427	0.209878999525129	"4"	"ACADSB"	"36"
1.11812138712091e-05	0.608062199710934	0.974	0.802	0.25966132973109	"4"	"SORBS2"	"8470"
1.16752289454039e-05	0.503772779542983	0.947	0.609	0.271133841799115	"4"	"ZC3H7A"	"29066"
1.34758567272803e-05	0.275165920082838	0.737	0.355	0.31294982077763	"4"	"ANKRD46"	"157567"
1.42086789757148e-05	0.256113757583598	0.711	0.315	0.329968151853025	"4"	"HDAC8"	"55869"
1.49136388886224e-05	0.354272708673173	0.947	0.597	0.346339435910477	"4"	"C8orf47"	NA
1.54325855118283e-05	0.53095936193957	0.974	0.629	0.358390933341189	"4"	"TSN"	"7247"
1.60650202640588e-05	0.48993781557739	0.921	0.698	0.373077965592237	"4"	"RNF216"	"54476"
1.64578733258343e-05	0.342570054244085	0.763	0.411	0.38220119224585	"4"	"MSL1"	"339287"
1.73658037517652e-05	0.295209206554354	0.447	0.157	0.403286060527244	"4"	"PXMP4"	"11264"
1.85964674161982e-05	0.388366813273792	0.868	0.528	0.431865762806371	"4"	"RIMKLB"	"57494"
2.02447425193135e-05	0.522932313688764	1	0.835	0.470143655526016	"4"	"SLC12A6"	"9990"
2.19592674482011e-05	0.540046072409206	0.974	0.685	0.509960067949574	"4"	"ATAD1"	"84896"
2.41514132470988e-05	0.298564170880895	0.842	0.504	0.560868269837376	"4"	"MBD1"	"4152"
3.16595009579554e-05	0.357840924812755	0.579	0.282	0.735228590746598	"4"	"BAP1"	"8314"
3.17432794883841e-05	0.491727020270223	0.842	0.48	0.737174179558744	"4"	"SCIN"	"85477"
3.18437257119088e-05	0.536884422724187	0.947	0.677	0.739506842207658	"4"	"ARHGEF3"	"50650"
3.63559472311059e-05	0.346385086448588	0.947	0.669	0.844294162547973	"4"	"TIMM13"	"26517"
3.77668054172722e-05	0.2987344101151	0.816	0.488	0.877058522205312	"4"	"XPNPEP3"	"63929"
4.40359231855883e-05	0.255767349422988	0.842	0.508	1	"4"	"EXOC7"	"23265"
4.70069113108035e-05	0.445158097501133	0.579	0.262	1	"4"	"RBAK"	"57786"
5.31948990580767e-05	0.432280053802347	0.974	0.81	1	"4"	"SNX14"	"57231"
5.35374785121495e-05	0.542553632020971	0.816	0.52	1	"4"	"TCTA"	"6988"
5.56346221583635e-05	0.369874324878584	0.711	0.371	1	"4"	"CARKD"	NA
5.76842014748363e-05	0.349861373158042	1	1	1	"4"	"RPL3"	"6122"
6.11391401043474e-05	0.500813882435431	0.895	0.625	1	"4"	"RNF114"	"55905"
6.25094041866308e-05	0.373747169245775	1	1	1	"4"	"SCGN"	"10590"
6.44550285735444e-05	0.494502518380455	0.579	0.27	1	"4"	"TM4SF4"	"7104"
6.46107130290742e-05	0.640579128916342	0.868	0.657	1	"4"	"RRM2B"	"50484"
6.67464430163515e-05	0.457228757095884	0.921	0.685	1	"4"	"MADD"	"8567"
7.14694279496888e-05	0.602360130505485	0.816	0.52	1	"4"	"LTA4H"	"4048"
8.00395478045464e-05	0.666324739733021	0.974	0.754	1	"4"	"ARG2"	"384"
8.01647873757652e-05	0.328209266965551	0.842	0.56	1	"4"	"HMGXB4"	"10042"
8.14338430398764e-05	0.336668951395059	1	0.754	1	"4"	"NOL4"	"8715"
8.26962284503635e-05	0.315787014634442	0.895	0.532	1	"4"	"MLH1"	"4292"
8.28274807562993e-05	0.514579414647057	0.868	0.605	1	"4"	"ZNF204P"	"7754"
8.28395708499141e-05	0.616695552428513	0.921	0.77	1	"4"	"ZC3H14"	"79882"
8.29644991774731e-05	0.412458819959134	0.947	0.673	1	"4"	"C4orf34"	NA
8.36752676415888e-05	0.503622882539513	1	0.996	1	"4"	"DPYSL2"	"1808"
8.48360166907425e-05	0.286612595288373	0.211	0.044	1	"4"	"BCHE"	"590"
8.74376673968835e-05	0.288673267276191	0.974	0.738	1	"4"	"ZMYND11"	"10771"
9.11563864969793e-05	0.296810261108947	0.895	0.597	1	"4"	"QDPR"	"5860"
9.1808883855024e-05	0.276604401571248	0.816	0.544	1	"4"	"GNG7"	"2788"
9.51684947921132e-05	0.531078875117038	0.816	0.5	1	"4"	"TMCC3"	"57458"
9.51754071874824e-05	0.425054699143185	0.921	0.661	1	"4"	"TCEB3"	NA
9.62519965534256e-05	0.438441809869318	0.789	0.468	1	"4"	"PCCB"	"5096"
0.000100102776658742	0.28242415244056	0.105	0.008	1	"4"	"SLITRK6"	"84189"
0.000102711519344139	0.330383730021496	0.816	0.496	1	"4"	"GFM1"	"85476"
0.000105450763831516	0.270185256170527	0.553	0.258	1	"4"	"DHRS12"	"79758"
0.000108316349586197	0.450311598874598	0.816	0.508	1	"4"	"MRPL48"	"51642"
0.000108363194924867	0.308664907936149	0.737	0.379	1	"4"	"USP25"	"29761"
0.000109985772284654	0.530121652108753	0.974	0.823	1	"4"	"RERE"	"473"
