name,gene,gene_name,variable,PSI,FDR
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c6_PSI,0.400990099009901,1.98753350665459e-20
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c6_PSI,0.0555555555555556,3.73983470845033e-06
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c6_PSI,0.178030303030303,0.352563723899802
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c6_PSI,0.23956043956044,0.00876289164181301
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c6_PSI,0.216877637130802,0.970240774752715
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c6_PSI,0.316239316239316,0.848785795465881
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c6_PSI,0.278008298755187,3.41746184901893e-05
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c6_PSI,0.111111111111111,0.00542781844070736
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c7_PSI,0.0385756676557863,1.98415759072753e-11
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c7_PSI,0.466867469879518,0.246847364519266
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c7_PSI,0.25,0.0754135510239888
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c7_PSI,0.897435897435897,0.489521236029071
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c7_PSI,0.589595375722543,2.00848773681704e-05
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c7_PSI,0.222222222222222,1.12428732509444e-09
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c7_PSI,0.0344827586206897,9.85844981778874e-18
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c7_PSI,0.211009174311927,0.931608003664799
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c7_PSI,0.535353535353535,0.00750601787406068
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c7_PSI,0.00740740740740741,7.65305150951032e-05
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c7_PSI,0.39622641509434,0.0979705809644956
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c7_PSI,0.187234042553191,7.42170360728398e-06
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c7_PSI,0.562913907284768,2.24901297743917e-44
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c7_PSI,0.361271676300578,4.97793373357759e-54
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c7_PSI,0.22972972972973,0.00896526872113273
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c7_PSI,0.0623818525519849,0.000237940163663099
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c7_PSI,0.201612903225806,0.192236863059931
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c7_PSI,0.321637426900585,0.872947825286094
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c7_PSI,0.211981566820276,1.30648303427689e-13
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c7_PSI,0.00740740740740741,1.17617509913437e-13
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c8_PSI,0.0425531914893617,0.117995681148104
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c8_PSI,0.461538461538462,0.496571222203632
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c8_PSI,0.684210526315789,1
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c8_PSI,1,1
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c8_PSI,0.0632911392405063,5.89957851319599e-15
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c8_PSI,0,0.00146348371430473
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c8_PSI,0.0169491525423729,4.39452116478146e-12
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c8_PSI,0.0694444444444444,2.05355485777989e-15
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c8_PSI,0.0222222222222222,3.47645473830057e-08
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c8_PSI,0,2.09738879013779e-12
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c8_PSI,0.309352517985612,0.474099061681069
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c8_PSI,0.216326530612245,0.567996130554932
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c8_PSI,0.085972850678733,7.55290195524681e-05
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c8_PSI,0.0416666666666667,0.00393461521976012
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c8_PSI,0.791666666666667,6.12617990279037e-14
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c8_PSI,0.689320388349515,6.9142315281389e-60
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c8_PSI,0.56078431372549,9.63582085793238e-21
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c8_PSI,0.129411764705882,0.000381893568524806
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c8_PSI,0.506802721088435,0.0263778899477601
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c8_PSI,0,9.74231384195198e-16
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c9_PSI,0.105263157894737,0.791134100258572
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c9_PSI,0.616541353383459,1.11927588830076e-09
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c9_PSI,0.0566037735849057,7.29008868809379e-17
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c9_PSI,1,1
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c9_PSI,0.411764705882353,0.000251346188650361
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c9_PSI,0.35,0.0049463522662069
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c9_PSI,0.392156862745098,0.022834369474582
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c9_PSI,0.197452229299363,0.189445255834254
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c9_PSI,0.317365269461078,0.308833934140872
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c9_PSI,0,9.85802412815716e-08
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c9_PSI,0.114206128133705,1.42379446032903e-18
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c9_PSI,0.10188679245283,6.83800983724995e-14
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c9_PSI,0.0864197530864197,2.53501620027426e-11
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c9_PSI,0.0242130750605327,2.34477152198782e-13
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c9_PSI,0.150895140664962,0.130913308903658
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c9_PSI,0.14975845410628,0.000428946138334977
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c9_PSI,0.656826568265683,2.57555395108378e-78
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c9_PSI,0.619047619047619,9.17114834598721e-06
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c9_PSI,0.0267379679144385,1.47108843920923e-95
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c9_PSI,0.0121951219512195,2.23316803087406e-09
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c10_PSI,0,8.03289382219629e-06
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c10_PSI,0,3.88354875856876e-11
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c10_PSI,0.384615384615385,0.413323747736537
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c10_PSI,0.254901960784314,1.5081938148995e-18
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c10_PSI,0.555555555555556,1
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c10_PSI,0,9.01678682775855e-58
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c10_PSI,0,1
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c10_PSI,0.0321199143468951,1.42988122652544e-77
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c10_PSI,0.165562913907285,3.25110375643385e-13
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c10_PSI,0,1
